"ticker","date","open","high","low","close","volume","partition_0"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"AMD","2024-09-30","164.48","174.05","143.33","144.07","8.79671739E8","kafka-stock-data"
"MSFT","2024-12-31","425.53","447.27","410.72","444.06","2.70362207E8","kafka-stock-data"
"AAPL","2024-01-31","183.985","191.05","179.25","180.75","1.161324426E9","kafka-stock-data"
"AMD","2024-02-29","197.91","227.3","172.0","180.49","1.52772463E9","kafka-stock-data"
"GOOG","2024-11-30","170.32","202.88","170.27","190.44","4.18671607E8","kafka-stock-data"
"GOOG","2024-01-31","143.69","150.695","136.64","139.78","4.7521207E8","kafka-stock-data"
"AMD","2024-01-31","169.27","193.0","161.81","192.53","1.271008772E9","kafka-stock-data"
"AMD","2024-02-29","197.91","227.3","172.0","180.49","1.52772463E9","kafka-stock-data"
"NVDA","2024-04-30","85.077","115.8192","81.2546","109.633","9.57601939E9","kafka-stock-data"
"MSFT","2024-03-31","423.95","429.37","388.03","389.33","4.28177183E8","kafka-stock-data"
"GOOG","2024-05-31","173.88","187.5","172.45","183.42","3.2869021E8","kafka-stock-data"
"AMD","2024-01-31","169.27","193.0","161.81","192.53","1.271008772E9","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"AMD","2024-08-31","146.41","168.7286","132.1101","164.08","6.49172694E8","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"GOOG","2024-01-31","143.69","150.695","136.64","139.78","4.7521207E8","kafka-stock-data"
"NVDA","2024-10-31","134.7","152.89","131.8","138.25","4.379438285E9","kafka-stock-data"
"NVDA","2024-07-31","117.53","131.26","90.69","119.37","8.008016771E9","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"MSFT","2024-02-29","411.27","430.82","398.39","420.72","4.26254911E8","kafka-stock-data"
"AMD","2024-09-30","164.48","174.05","143.33","144.07","8.79671739E8","kafka-stock-data"
"NVDA","2024-01-31","62.1","82.394","61.65","79.112","1.106682792E10","kafka-stock-data"
"AAPL","2024-12-31","248.93","249.1","219.38","222.78","7.70695662E8","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"MSFT","2024-09-30","428.45","438.5","406.3","406.35","4.16190334E8","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AAPL","2024-07-31","224.37","232.92","196.0","229.0","1.085852416E9","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"GOOG","2024-01-31","143.69","150.695","136.64","139.78","4.7521207E8","kafka-stock-data"
"AAPL","2024-06-30","212.09","237.23","211.92","222.08","1.117258533E9","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"GOOG","2024-09-30","168.86","183.79","161.12","172.69","3.66430772E8","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"AMD","2024-07-31","145.0","162.04","121.825","148.56","1.092439392E9","kafka-stock-data"
"AAPL","2024-11-30","237.27","260.1","237.16","250.42","9.03649066E8","kafka-stock-data"
"MSFT","2024-09-30","428.45","438.5","406.3","406.35","4.16190334E8","kafka-stock-data"
"GOOG","2024-05-31","173.88","187.5","172.45","183.42","3.2869021E8","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"AAPL","2024-06-30","212.09","237.23","211.92","222.08","1.117258533E9","kafka-stock-data"
"AMD","2024-08-31","146.41","168.7286","132.1101","164.08","6.49172694E8","kafka-stock-data"
"GOOG","2024-09-30","168.86","183.79","161.12","172.69","3.66430772E8","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"MSFT","2024-06-30","448.66","468.35","412.21","418.35","4.23520897E8","kafka-stock-data"
"MSFT","2024-07-31","420.785","427.46","385.58","417.14","4.25241962E8","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"MSFT","2024-03-31","423.95","429.37","388.03","389.33","4.28177183E8","kafka-stock-data"
"AAPL","2024-11-30","237.27","260.1","237.16","250.42","9.03649066E8","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"AAPL","2024-11-30","237.27","260.1","237.16","250.42","9.03649066E8","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"MSFT","2024-03-31","423.95","429.37","388.03","389.33","4.28177183E8","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"NVDA","2024-02-29","80.0","97.4","79.435","90.356","1.213317515E10","kafka-stock-data"
"GOOG","2024-07-31","171.98","175.68","156.6","165.11","3.68081877E8","kafka-stock-data"
"AAPL","2024-08-31","228.55","233.09","213.92","233.0","1.16179786E9","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"AMD","2023-12-31","144.28","184.92","133.7413","167.69","1.955847645E9","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"AMD","2024-01-31","169.27","193.0","161.81","192.53","1.271008772E9","kafka-stock-data"
"MSFT","2023-12-31","373.86","415.32","366.5","397.58","5.27188328E8","kafka-stock-data"
"MSFT","2023-12-31","373.86","415.32","366.5","397.58","5.27188328E8","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AAPL","2024-03-31","171.19","178.36","164.075","170.33","1.222845493E9","kafka-stock-data"
"MSFT","2024-03-31","423.95","429.37","388.03","389.33","4.28177183E8","kafka-stock-data"
"AMD","2024-02-29","197.91","227.3","172.0","180.49","1.52772463E9","kafka-stock-data"
"GOOG","2024-05-31","173.88","187.5","172.45","183.42","3.2869021E8","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AAPL","2024-03-31","171.19","178.36","164.075","170.33","1.222845493E9","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"AAPL","2024-08-31","228.55","233.09","213.92","233.0","1.16179786E9","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"AMD","2024-05-31","170.82","171.08","153.34","162.21","9.51113946E8","kafka-stock-data"
"NVDA","2024-06-30","123.47","136.15","102.54","117.02","6.318158372E9","kafka-stock-data"
"GOOG","2024-04-30","166.18","179.95","164.9","173.96","3.72467241E8","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"NVDA","2024-01-31","62.1","82.394","61.65","79.112","1.106682792E10","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"MSFT","2024-07-31","420.785","427.46","385.58","417.14","4.25241962E8","kafka-stock-data"
"AAPL","2024-10-31","220.965","237.81","219.71","237.33","8.29608612E8","kafka-stock-data"
"NVDA","2024-07-31","117.53","131.26","90.69","119.37","8.008016771E9","kafka-stock-data"
"AMD","2024-09-30","164.48","174.05","143.33","144.07","8.79671739E8","kafka-stock-data"
"MSFT","2024-06-30","448.66","468.35","412.21","418.35","4.23520897E8","kafka-stock-data"
"AMD","2023-12-31","144.28","184.92","133.7413","167.69","1.955847645E9","kafka-stock-data"
"MSFT","2024-02-29","411.27","430.82","398.39","420.72","4.26254911E8","kafka-stock-data"
"GOOG","2023-12-31","139.6","155.2","136.85","141.8","4.27588764E8","kafka-stock-data"
"MSFT","2024-07-31","420.785","427.46","385.58","417.14","4.25241962E8","kafka-stock-data"
"MSFT","2024-04-30","392.61","433.6","390.31","415.13","3.90930923E8","kafka-stock-data"
"GOOG","2024-11-30","170.32","202.88","170.27","190.44","4.18671607E8","kafka-stock-data"
"MSFT","2024-09-30","428.45","438.5","406.3","406.35","4.16190334E8","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"MSFT","2024-02-29","411.27","430.82","398.39","420.72","4.26254911E8","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"GOOG","2024-06-30","184.48","193.31","165.865","173.15","3.41375776E8","kafka-stock-data"
"NVDA","2024-04-30","85.077","115.8192","81.2546","109.633","9.57601939E9","kafka-stock-data"
"NVDA","2024-02-29","80.0","97.4","79.435","90.356","1.213317515E10","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"AMD","2024-02-29","197.91","227.3","172.0","180.49","1.52772463E9","kafka-stock-data"
"AAPL","2024-10-31","220.965","237.81","219.71","237.33","8.29608612E8","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"NVDA","2024-10-31","134.7","152.89","131.8","138.25","4.379438285E9","kafka-stock-data"
"AMD","2024-01-31","169.27","193.0","161.81","192.53","1.271008772E9","kafka-stock-data"
"AAPL","2024-09-30","229.52","237.49","221.33","225.91","8.74141664E8","kafka-stock-data"
"AAPL","2024-03-31","171.19","178.36","164.075","170.33","1.222845493E9","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"MSFT","2024-06-30","448.66","468.35","412.21","418.35","4.23520897E8","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"GOOG","2024-03-31","151.83","176.42","151.081","164.64","4.80149395E8","kafka-stock-data"
"GOOG","2024-06-30","184.48","193.31","165.865","173.15","3.41375776E8","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"AMD","2024-01-31","169.27","193.0","161.81","192.53","1.271008772E9","kafka-stock-data"
"GOOG","2024-05-31","173.88","187.5","172.45","183.42","3.2869021E8","kafka-stock-data"
"NVDA","2024-08-31","116.01","127.665","100.95","121.44","6.179041669E9","kafka-stock-data"
"AAPL","2024-06-30","212.09","237.23","211.92","222.08","1.117258533E9","kafka-stock-data"
"GOOG","2024-03-31","151.83","176.42","151.081","164.64","4.80149395E8","kafka-stock-data"
"AMD","2024-10-31","144.44","150.71","132.96","137.175","5.95873916E8","kafka-stock-data"
"AMD","2024-09-30","164.48","174.05","143.33","144.07","8.79671739E8","kafka-stock-data"
"GOOG","2024-04-30","166.18","179.95","164.9","173.96","3.72467241E8","kafka-stock-data"
"AAPL","2024-11-30","237.27","260.1","237.16","250.42","9.03649066E8","kafka-stock-data"
"GOOG","2024-01-31","143.69","150.695","136.64","139.78","4.7521207E8","kafka-stock-data"
"AMD","2024-07-31","145.0","162.04","121.825","148.56","1.092439392E9","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"GOOG","2024-08-31","163.315","167.36","148.2","167.19","3.66825214E8","kafka-stock-data"
"AMD","2024-09-30","164.48","174.05","143.33","144.07","8.79671739E8","kafka-stock-data"
"MSFT","2024-09-30","428.45","438.5","406.3","406.35","4.16190334E8","kafka-stock-data"
"AAPL","2024-08-31","228.55","233.09","213.92","233.0","1.16179786E9","kafka-stock-data"
"AMD","2024-01-31","169.27","193.0","161.81","192.53","1.271008772E9","kafka-stock-data"
"GOOG","2024-07-31","171.98","175.68","156.6","165.11","3.68081877E8","kafka-stock-data"
"AAPL","2024-03-31","171.19","178.36","164.075","170.33","1.222845493E9","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"GOOG","2024-04-30","166.18","179.95","164.9","173.96","3.72467241E8","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"AAPL","2024-03-31","171.19","178.36","164.075","170.33","1.222845493E9","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"AAPL","2024-11-30","237.27","260.1","237.16","250.42","9.03649066E8","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"AMD","2024-08-31","146.41","168.7286","132.1101","164.08","6.49172694E8","kafka-stock-data"
"GOOG","2024-04-30","166.18","179.95","164.9","173.96","3.72467241E8","kafka-stock-data"
"AAPL","2024-05-31","192.9","220.2","192.15","210.62","1.652008033E9","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"GOOG","2024-03-31","151.83","176.42","151.081","164.64","4.80149395E8","kafka-stock-data"
"MSFT","2024-06-30","448.66","468.35","412.21","418.35","4.23520897E8","kafka-stock-data"
"MSFT","2024-09-30","428.45","438.5","406.3","406.35","4.16190334E8","kafka-stock-data"
"NVDA","2024-10-31","134.7","152.89","131.8","138.25","4.379438285E9","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"AAPL","2024-06-30","212.09","237.23","211.92","222.08","1.117258533E9","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"AAPL","2024-09-30","229.52","237.49","221.33","225.91","8.74141664E8","kafka-stock-data"
"MSFT","2023-12-31","373.86","415.32","366.5","397.58","5.27188328E8","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"AMD","2024-07-31","145.0","162.04","121.825","148.56","1.092439392E9","kafka-stock-data"
"GOOG","2024-10-31","171.54","184.025","165.31","170.49","3.32504694E8","kafka-stock-data"
"GOOG","2023-12-31","139.6","155.2","136.85","141.8","4.27588764E8","kafka-stock-data"
"NVDA","2024-06-30","123.47","136.15","102.54","117.02","6.318158372E9","kafka-stock-data"
"MSFT","2024-10-31","409.01","429.325","405.5713","423.46","4.07200085E8","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"NVDA","2024-05-31","113.621","140.76","112.003","123.54","7.239723348E9","kafka-stock-data"
"NVDA","2024-10-31","134.7","152.89","131.8","138.25","4.379438285E9","kafka-stock-data"
"AAPL","2024-12-31","248.93","249.1","219.38","222.78","7.70695662E8","kafka-stock-data"
"AMD","2024-05-31","170.82","171.08","153.34","162.21","9.51113946E8","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"NVDA","2024-01-31","62.1","82.394","61.65","79.112","1.106682792E10","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"NVDA","2024-08-31","116.01","127.665","100.95","121.44","6.179041669E9","kafka-stock-data"
"GOOG","2024-01-31","143.69","150.695","136.64","139.78","4.7521207E8","kafka-stock-data"
"GOOG","2024-10-31","171.54","184.025","165.31","170.49","3.32504694E8","kafka-stock-data"
"AMD","2024-11-30","137.915","144.12","117.9","120.79","7.89417964E8","kafka-stock-data"
"GOOG","2024-03-31","151.83","176.42","151.081","164.64","4.80149395E8","kafka-stock-data"
"GOOG","2023-12-31","139.6","155.2","136.85","141.8","4.27588764E8","kafka-stock-data"
"AAPL","2024-05-31","192.9","220.2","192.15","210.62","1.652008033E9","kafka-stock-data"
"AMD","2024-05-31","170.82","171.08","153.34","162.21","9.51113946E8","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"AMD","2023-12-31","144.28","184.92","133.7413","167.69","1.955847645E9","kafka-stock-data"
"AMD","2024-03-31","180.1","187.24","145.29","158.38","1.238601879E9","kafka-stock-data"
"AAPL","2024-10-31","220.965","237.81","219.71","237.33","8.29608612E8","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"AMD","2024-04-30","148.11","174.55","141.155","166.9","1.112755041E9","kafka-stock-data"
"AMD","2024-12-31","122.29","131.71","114.41","122.84","5.44458674E8","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"NVDA","2024-02-29","80.0","97.4","79.435","90.356","1.213317515E10","kafka-stock-data"
"AMD","2024-10-31","144.44","150.71","132.96","137.175","5.95873916E8","kafka-stock-data"
"AAPL","2024-05-31","192.9","220.2","192.15","210.62","1.652008033E9","kafka-stock-data"
"AAPL","2024-12-31","248.93","249.1","219.38","222.78","7.70695662E8","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"NVDA","2024-10-31","134.7","152.89","131.8","138.25","4.379438285E9","kafka-stock-data"
"NVDA","2024-08-31","116.01","127.665","100.95","121.44","6.179041669E9","kafka-stock-data"
"NVDA","2024-07-31","117.53","131.26","90.69","119.37","8.008016771E9","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"AMD","2024-02-29","197.91","227.3","172.0","180.49","1.52772463E9","kafka-stock-data"
"AMD","2024-06-30","161.25","187.28","134.05","144.48","1.232224611E9","kafka-stock-data"
"GOOG","2024-06-30","184.48","193.31","165.865","173.15","3.41375776E8","kafka-stock-data"
"NVDA","2024-04-30","85.077","115.8192","81.2546","109.633","9.57601939E9","kafka-stock-data"
"AAPL","2024-12-31","248.93","249.1","219.38","222.78","7.70695662E8","kafka-stock-data"
"AAPL","2023-12-31","187.15","196.38","180.17","184.4","1.185397745E9","kafka-stock-data"
"MSFT","2024-03-31","423.95","429.37","388.03","389.33","4.28177183E8","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"AAPL","2024-08-31","228.55","233.09","213.92","233.0","1.16179786E9","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"AMD","2024-09-30","164.48","174.05","143.33","144.07","8.79671739E8","kafka-stock-data"
"NVDA","2024-07-31","117.53","131.26","90.69","119.37","8.008016771E9","kafka-stock-data"
"MSFT","2024-06-30","448.66","468.35","412.21","418.35","4.23520897E8","kafka-stock-data"
"GOOG","2024-09-30","168.86","183.79","161.12","172.69","3.66430772E8","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"NVDA","2024-04-30","85.077","115.8192","81.2546","109.633","9.57601939E9","kafka-stock-data"
"GOOG","2024-05-31","173.88","187.5","172.45","183.42","3.2869021E8","kafka-stock-data"
"AAPL","2024-05-31","192.9","220.2","192.15","210.62","1.652008033E9","kafka-stock-data"
"NVDA","2024-04-30","85.077","115.8192","81.2546","109.633","9.57601939E9","kafka-stock-data"
"AAPL","2024-09-30","229.52","237.49","221.33","225.91","8.74141664E8","kafka-stock-data"
"MSFT","2024-10-31","409.01","429.325","405.5713","423.46","4.07200085E8","kafka-stock-data"
"GOOG","2024-06-30","184.48","193.31","165.865","173.15","3.41375776E8","kafka-stock-data"
"NVDA","2024-09-30","121.765","144.42","115.14","132.76","5.538723551E9","kafka-stock-data"
"GOOG","2024-12-31","191.485","203.84","188.66","201.9","2.2271954E8","kafka-stock-data"
"MSFT","2023-12-31","373.86","415.32","366.5","397.58","5.27188328E8","kafka-stock-data"
"AMD","2024-07-31","145.0","162.04","121.825","148.56","1.092439392E9","kafka-stock-data"
"MSFT","2024-05-31","415.525","456.17","408.9234","446.95","3.19619093E8","kafka-stock-data"
"MSFT","2024-07-31","420.785","427.46","385.58","417.14","4.25241962E8","kafka-stock-data"
"AMD","2024-10-31","144.44","150.71","132.96","137.175","5.95873916E8","kafka-stock-data"
"GOOG","2024-12-31","191.485","203.84","188.66","201.9","2.2271954E8","kafka-stock-data"
"MSFT","2023-12-31","373.86","415.32","366.5","397.58","5.27188328E8","kafka-stock-data"
"GOOG","2024-11-30","170.32","202.88","170.27","190.44","4.18671607E8","kafka-stock-data"
"AMD","2024-10-31","144.44","150.71","132.96","137.175","5.95873916E8","kafka-stock-data"
"AMD","2024-05-31","170.82","171.08","153.34","162.21","9.51113946E8","kafka-stock-data"
"AMD","2024-07-31","145.0","162.04","121.825","148.56","1.092439392E9","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"AAPL","2024-10-31","220.965","237.81","219.71","237.33","8.29608612E8","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"NVDA","2024-12-31","136.0","153.13","129.51","142.62","3.244211278E9","kafka-stock-data"
"NVDA","2024-02-29","80.0","97.4","79.435","90.356","1.213317515E10","kafka-stock-data"
"GOOG","2024-09-30","168.86","183.79","161.12","172.69","3.66430772E8","kafka-stock-data"
"MSFT","2024-07-31","420.785","427.46","385.58","417.14","4.25241962E8","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"MSFT","2024-08-31","417.91","441.85","400.8","430.3","3.57250621E8","kafka-stock-data"
"NVDA","2024-01-31","62.1","82.394","61.65","79.112","1.106682792E10","kafka-stock-data"
"MSFT","2024-10-31","409.01","429.325","405.5713","423.46","4.07200085E8","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"NVDA","2024-11-30","138.83","146.54","126.86","134.29","3.956732081E9","kafka-stock-data"
"AAPL","2024-04-30","169.58","193.0","169.11","192.25","1.29445962E9","kafka-stock-data"
"MSFT","2024-03-31","423.95","429.37","388.03","389.33","4.28177183E8","kafka-stock-data"
"GOOG","2024-08-31","163.315","167.36","148.2","167.19","3.66825214E8","kafka-stock-data"
"NVDA","2024-02-29","80.0","97.4","79.435","90.356","1.213317515E10","kafka-stock-data"
"NVDA","2023-12-31","49.244","63.493","47.32","61.527","9.69736445E9","kafka-stock-data"
"NVDA","2024-08-31","116.01","127.665","100.95","121.44","6.179041669E9","kafka-stock-data"
"MSFT","2024-10-31","409.01","429.325","405.5713","423.46","4.07200085E8","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"AAPL","2024-02-29","179.55","180.53","168.49","171.48","1.432550432E9","kafka-stock-data"
"GOOG","2024-02-29","139.61","153.2","131.55","152.26","5.07054653E8","kafka-stock-data"
"MSFT","2024-10-31","409.01","429.325","405.5713","423.46","4.07200085E8","kafka-stock-data"
"AAPL","2023-12-31","187.15","196.38","180.17","184.4","1.185397745E9","kafka-stock-data"
"NVDA","2024-08-31","116.01","127.665","100.95","121.44","6.179041669E9","kafka-stock-data"
"AAPL","2024-03-31","171.19","178.36","164.075","170.33","1.222845493E9","kafka-stock-data"
"NVDA","2024-03-31","90.299","92.225","75.606","86.402","1.004490932E10","kafka-stock-data"
"AAPL","2024-07-31","224.37","232.92","196.0","229.0","1.085852416E9","kafka-stock-data"
"NVDA","2024-07-31","117.53","131.26","90.69","119.37","8.008016771E9","kafka-stock-data"
"AAPL","2024-08-31","228.55","233.09","213.92","233.0","1.16179786E9","kafka-stock-data"
"MSFT","2024-12-31","425.53","447.27","410.72","444.06","2.70362207E8","kafka-stock-data"
"AAPL","2024-02-29","179.55","180.53","168.49","171.48","1.432550432E9","kafka-stock-data"
"MSFT","2024-11-30","421.57","456.1648","420.66","421.5","4.01999475E8","kafka-stock-data"
"AAPL","2024-11-30","237.27","260.1","237.16","250.42","9.03649066E8","kafka-stock-data"
"NVDA","2024-01-31","62.1","82.394","61.65","79.112","1.106682792E10","kafka-stock-data"
"AMD","2024-05-31","170.82","171.08","153.34","162.21","9.51113946E8","kafka-stock-data"
"NVDA","2024-02-29","80.0","97.4","79.435","90.356","1.213317515E10","kafka-stock-data"
"AMD","2024-10-31","144.44","150.71","132.96","137.175","5.95873916E8","kafka-stock-data"
"NVDA","2024-10-31","134.7","152.89","131.8","138.25","4.379438285E9","kafka-stock-data"
"AAPL","2024-07-31","224.37","232.92","196.0","229.0","1.085852416E9","kafka-stock-data"
"NVDA","2024-07-31","117.53","131.26","90.69","119.37","8.008016771E9","kafka-stock-data"
"AAPL","2024-10-31","220.965","237.81","219.71","237.33","8.29608612E8","kafka-stock-data"
